Zachodnio-Pomorskie;Białogardzki;Białogard;7124;Białogard;Berki 2
Zachodnio-Pomorskie;Białogardzki;Białogard;65517;Białogard;Berki 2
Zachodnio-Pomorskie;Białogardzki;Białogard;1106;Białogard;Berki 3
Zachodnio-Pomorskie;Białogardzki;Białogard;50699;Białogard;Berki 3
Zachodnio-Pomorskie;Białogardzki;Białogard;8785;Białogard;Bolesława Śmiałego 65
Zachodnio-Pomorskie;Białogardzki;Białogard;9678;Białogard;Bolesława Śmiałego 65
Zachodnio-Pomorskie;Białogardzki;Białogard;94406;Białogard;Bolesława Śmiałego 65
Zachodnio-Pomorskie;Białogardzki;Białogard;59659;Białogard;Byszyno 29a
Zachodnio-Pomorskie;Białogardzki;Białogard;68253;Białogard;Chopina 27
Zachodnio-Pomorskie;Białogardzki;Białogard;21919;Białogard;Czarnowęsy 8
Zachodnio-Pomorskie;Białogardzki;Białogard;63329;Białogard;Dargikowo 16
Zachodnio-Pomorskie;Białogardzki;Białogard;63535;Białogard;grottera 15
Zachodnio-Pomorskie;Białogardzki;Białogard;34180;Białogard;Kochanowskiego 8
Zachodnio-Pomorskie;Białogardzki;Białogard;53007;Białogard;Kochanowskiego 8
Zachodnio-Pomorskie;Białogardzki;Białogard;6787;Białogard;"Konopnickiej/
Swietochowskiego"
Zachodnio-Pomorskie;Białogardzki;Białogard;87939;Białogard;Krakowska 49
Zachodnio-Pomorskie;Białogardzki;Białogard;42040;Białogard;Królowej Jadwigi 3
Zachodnio-Pomorskie;Białogardzki;Białogard;63335;Białogard;Kusocińskiego 2
Zachodnio-Pomorskie;Białogardzki;Białogard;7182;Białogard;Lelewela 5
Zachodnio-Pomorskie;Białogardzki;Białogard;59669;Białogard;Lelewela 5
Zachodnio-Pomorskie;Białogardzki;Białogard;65283;Białogard;Lipowa 2
Zachodnio-Pomorskie;Białogardzki;Białogard;18967;Białogard;Malinowskiego 2
Zachodnio-Pomorskie;Białogardzki;Białogard;781;Białogard;Malinowskiego 4
Zachodnio-Pomorskie;Białogardzki;Białogard;52157;Białogard;Mieszka I 12
Zachodnio-Pomorskie;Białogardzki;Białogard;51659;Białogard;Modrzewskiego 2
Zachodnio-Pomorskie;Białogardzki;Białogard;54253;Białogard;Modrzewskiego 2
Zachodnio-Pomorskie;Białogardzki;Białogard;38730;Białogard;moniuszki 19
Zachodnio-Pomorskie;Białogardzki;Białogard;22708;Białogard;Moniuszki 32-34
Zachodnio-Pomorskie;Białogardzki;Białogard;23857;Białogard;Olimpijska 2
Zachodnio-Pomorskie;Białogardzki;Białogard;1077;Białogard;Piastów 35
Zachodnio-Pomorskie;Białogardzki;Białogard;82115;Białogard;Polna 5
Zachodnio-Pomorskie;Białogardzki;Białogard;87937;Białogard;Połczyńska 18
Zachodnio-Pomorskie;Białogardzki;Białogard;87942;Białogard;Połczyńska 18
Zachodnio-Pomorskie;Białogardzki;Białogard;51957;Białogard;raczynskiego 3
Zachodnio-Pomorskie;Białogardzki;Białogard;34013;Białogard;Sikorskiego 3
Zachodnio-Pomorskie;Białogardzki;Białogard;80408;Białogard;Witkacego 2
Zachodnio-Pomorskie;Białogardzki;Białogard;29501;Białogard;Wyszyńskiego 16a
Zachodnio-Pomorskie;Białogardzki;Białogard;42308;Białogard;Wyszyńskiego 46
Zachodnio-Pomorskie;Białogardzki;Białogard;8559;Białogard;Zamoyskiego 9
Zachodnio-Pomorskie;Białogardzki;Białogard;44831;Białogard;Zamoyskiego 9
